"filename", "language", "YAML", "Markdown", "Shell Script", "Go", "Go Checksum File", "Go Module File", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service_roundtrip_test.go", "Go", 0, 0, 0, 51, 0, 0, 15, 11, 77
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service_test.go", "Go", 0, 0, 0, 190, 0, 0, 15, 28, 233
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/test_helpers_test.go", "Go", 0, 0, 0, 72, 0, 0, 15, 5, 92
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation.go", "Go", 0, 0, 0, 64, 0, 0, 15, 10, 89
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation_test.go", "Go", 0, 0, 0, 165, 0, 0, 15, 14, 194
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/storageprojection/projection.go", "Go", 0, 0, 0, 102, 0, 0, 15, 11, 128
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/handle.go", "Go", 0, 0, 0, 105, 0, 0, 15, 11, 131
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/lifecycle.go", "Go", 0, 0, 0, 169, 0, 0, 15, 13, 197
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/options.go", "Go", 0, 0, 0, 47, 0, 0, 15, 9, 71
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service.go", "Go", 0, 0, 0, 44, 0, 0, 15, 10, 69
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_lifecycle_test.go", "Go", 0, 0, 0, 247, 0, 0, 15, 37, 299
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_phase_sync_test.go", "Go", 0, 0, 0, 96, 0, 0, 15, 12, 123
