"filename", "language", "Markdown", "Go Checksum File", "YAML", "Go", "Go Module File", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publication/BRANCH_MATRIX.ru.md", "Markdown", 25, 0, 0, 0, 0, 0, 7, 32
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publication/issue_upload_session.go", "Go", 0, 0, 0, 66, 0, 15, 9, 90
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publication/issue_upload_session_test.go", "Go", 0, 0, 0, 140, 0, 15, 7, 162
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publication/plan_source_worker.go", "Go", 0, 0, 0, 119, 0, 15, 14, 148
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publication/plan_source_worker_test.go", "Go", 0, 0, 0, 188, 0, 15, 8, 211
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publication/start_publication.go", "Go", 0, 0, 0, 40, 0, 15, 8, 63
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publication/start_publication_test.go", "Go", 0, 0, 0, 83, 0, 15, 7, 105
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/artifactbackend/contract.go", "Go", 0, 0, 0, 50, 0, 21, 13, 84
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/artifactbackend/contract_test.go", "Go", 0, 0, 0, 64, 0, 15, 14, 93
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/artifactbackend/location.go", "Go", 0, 0, 0, 35, 0, 17, 9, 61
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/artifactbackend/location_test.go", "Go", 0, 0, 0, 42, 0, 15, 12, 69
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/observation.go", "Go", 0, 0, 0, 74, 0, 15, 11, 100
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/options.go", "Go", 0, 0, 0, 42, 0, 15, 12, 69
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/persistence.go", "Go", 0, 0, 0, 97, 0, 15, 7, 119
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/reconciler.go", "Go", 0, 0, 0, 36, 0, 15, 10, 61
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/reconciler_test.go", "Go", 0, 0, 0, 624, 0, 15, 80, 719
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/observation.go", "Go", 0, 0, 0, 31, 0, 15, 6, 52
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/options.go", "Go", 0, 0, 0, 57, 0, 15, 17, 89
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/persistence.go", "Go", 0, 0, 0, 70, 0, 15, 11, 96
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/reconciler.go", "Go", 0, 0, 0, 155, 0, 15, 20, 190
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/reconciler_test.go", "Go", 0, 0, 0, 368, 0, 15, 47, 430
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/configmap_codec.go", "Go", 0, 0, 0, 138, 0, 15, 24, 177
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/configmap_codec_test.go", "Go", 0, 0, 0, 196, 0, 15, 21, 232
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/configmap_mutation.go", "Go", 0, 0, 0, 78, 0, 15, 15, 108
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/configmap_mutation_test.go", "Go", 0, 0, 0, 124, 0, 15, 16, 155
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/constants.go", "Go", 0, 0, 0, 15, 0, 15, 6, 36
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/options.go", "Go", 0, 0, 0, 77, 0, 15, 15, 107
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/reconciler.go", "Go", 0, 0, 0, 64, 0, 15, 12, 91
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/reconciler_test.go", "Go", 0, 0, 0, 917, 0, 15, 117, 1049
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/runtime.go", "Go", 0, 0, 0, 131, 0, 15, 18, 164
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/runtime_test.go", "Go", 0, 0, 0, 102, 0, 15, 18, 135
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/publicationops/source.go", "Go", 0, 0, 0, 140, 0, 15, 14, 169
