"filename", "language", "YAML", "Markdown", "Shell Script", "Go", "Go Module File", "Go Checksum File", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/status.go", "Go", 0, 0, 0, 41, 0, 0, 15, 7, 63
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/status_test.go", "Go", 0, 0, 0, 17, 0, 0, 15, 6, 38
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/test_helpers_test.go", "Go", 0, 0, 0, 50, 0, 0, 15, 7, 72
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/options.go", "Go", 0, 0, 0, 43, 0, 0, 15, 8, 66
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/options_test.go", "Go", 0, 0, 0, 74, 0, 0, 15, 10, 99
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/render.go", "Go", 0, 0, 0, 27, 0, 0, 15, 6, 48
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/render_test.go", "Go", 0, 0, 0, 46, 0, 0, 15, 10, 71
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/status.go", "Go", 0, 0, 0, 17, 0, 0, 15, 5, 37
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/detect.go", "Go", 0, 0, 0, 139, 0, 0, 15, 21, 175
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/validation.go", "Go", 0, 0, 0, 302, 0, 0, 15, 33, 350
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/validation_test.go", "Go", 0, 0, 0, 101, 0, 0, 15, 22, 138
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/kitops/adapter.go", "Go", 0, 0, 0, 284, 0, 0, 15, 48, 347
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/kitops/adapter_test.go", "Go", 0, 0, 0, 29, 0, 0, 15, 10, 54
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/common/profile.go", "Go", 0, 0, 0, 110, 0, 0, 15, 18, 143
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/common/profile_test.go", "Go", 0, 0, 0, 34, 0, 0, 15, 10, 59
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/gguf/profile.go", "Go", 0, 0, 0, 170, 0, 0, 15, 22, 207
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/gguf/profile_test.go", "Go", 0, 0, 0, 46, 0, 0, 15, 6, 67
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/safetensors/profile.go", "Go", 0, 0, 0, 285, 0, 0, 15, 43, 343
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/safetensors/profile_test.go", "Go", 0, 0, 0, 70, 0, 0, 15, 6, 91
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/archive.go", "Go", 0, 0, 0, 267, 0, 0, 15, 35, 317
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/archive_test.go", "Go", 0, 0, 0, 138, 0, 0, 15, 24, 177
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http.go", "Go", 0, 0, 0, 140, 0, 0, 15, 21, 176
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http_test.go", "Go", 0, 0, 0, 45, 0, 0, 15, 11, 71
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface.go", "Go", 0, 0, 0, 177, 0, 0, 15, 24, 216
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_test.go", "Go", 0, 0, 0, 28, 0, 0, 15, 9, 52
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/remote.go", "Go", 0, 0, 0, 128, 0, 0, 15, 20, 163
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/remote_test.go", "Go", 0, 0, 0, 36, 0, 0, 15, 7, 58
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/tar_gzip.go", "Go", 0, 0, 0, 44, 0, 0, 15, 8, 67
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/transport.go", "Go", 0, 0, 0, 63, 0, 0, 15, 8, 86
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/ensure_cleanup_finalizer.go", "Go", 0, 0, 0, 25, 0, 0, 15, 6, 46
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/ensure_cleanup_finalizer_test.go", "Go", 0, 0, 0, 86, 0, 0, 15, 6, 107
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/finalize_delete.go", "Go", 0, 0, 0, 84, 0, 0, 15, 12, 111
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/finalize_delete_test.go", "Go", 0, 0, 0, 148, 0, 0, 15, 7, 170
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/ensure_runtime.go", "Go", 0, 0, 0, 90, 0, 0, 15, 18, 123
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/ensure_runtime_test.go", "Go", 0, 0, 0, 205, 0, 0, 15, 29, 249
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_runtime_test.go", "Go", 0, 0, 0, 343, 0, 0, 15, 13, 371
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_source_worker.go", "Go", 0, 0, 0, 79, 0, 0, 15, 9, 103
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_upload_session.go", "Go", 0, 0, 0, 87, 0, 0, 15, 10, 112
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/reconcile_gate.go", "Go", 0, 0, 0, 63, 0, 0, 15, 12, 90
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/reconcile_gate_test.go", "Go", 0, 0, 0, 123, 0, 0, 15, 8, 146
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/runtime_result.go", "Go", 0, 0, 0, 29, 0, 0, 15, 5, 49
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/status_mutation.go", "Go", 0, 0, 0, 56, 0, 0, 15, 9, 80
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/status_mutation_test.go", "Go", 0, 0, 0, 166, 0, 0, 15, 11, 192
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/issue_upload_session.go", "Go", 0, 0, 0, 56, 0, 0, 15, 8, 79
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/issue_upload_session_test.go", "Go", 0, 0, 0, 123, 0, 0, 15, 7, 145
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/plan_source_worker.go", "Go", 0, 0, 0, 127, 0, 0, 15, 14, 156
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/plan_source_worker_test.go", "Go", 0, 0, 0, 169, 0, 0, 15, 8, 192
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/start_publication.go", "Go", 0, 0, 0, 35, 0, 0, 15, 9, 59
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/start_publication_test.go", "Go", 0, 0, 0, 74, 0, 0, 15, 7, 96
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/artifactbackend/contract.go", "Go", 0, 0, 0, 60, 0, 0, 21, 14, 95
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/artifactbackend/contract_test.go", "Go", 0, 0, 0, 61, 0, 0, 15, 14, 90
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/artifactbackend/location.go", "Go", 0, 0, 0, 35, 0, 0, 17, 9, 61
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/artifactbackend/location_test.go", "Go", 0, 0, 0, 42, 0, 0, 15, 12, 69
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/bootstrap/bootstrap.go", "Go", 0, 0, 0, 125, 0, 0, 15, 18, 158
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/bootstrap/bootstrap_test.go", "Go", 0, 0, 0, 55, 0, 0, 15, 10, 80
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/cmdsupport/common.go", "Go", 0, 0, 0, 122, 0, 0, 15, 24, 161
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/io.go", "Go", 0, 0, 0, 161, 0, 0, 15, 14, 190
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/job.go", "Go", 0, 0, 0, 126, 0, 0, 15, 17, 158
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/job_test.go", "Go", 0, 0, 0, 43, 0, 0, 15, 7, 65
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/options.go", "Go", 0, 0, 0, 41, 0, 0, 15, 12, 68
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/reconciler.go", "Go", 0, 0, 0, 36, 0, 0, 15, 10, 61
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/reconciler_test.go", "Go", 0, 0, 0, 183, 0, 0, 15, 45, 243
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/test_helpers_test.go", "Go", 0, 0, 0, 123, 0, 0, 15, 22, 160
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/io.go", "Go", 0, 0, 0, 118, 0, 0, 15, 12, 145
