"filename", "language", "YAML", "Markdown", "Shell Script", "Go", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/README.md", "Markdown", 0, 22, 0, 0, 0, 0, 22
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/STRUCTURE.ru.md", "Markdown", 0, -427, 0, 0, 0, -263, -690
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/TEST_EVIDENCE.ru.md", "Markdown", 0, 10, 0, 0, 0, 2, 12
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/artifact_cleanup.go", "Go", 0, 0, 0, 27, 15, 10, 52
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/dispatch.go", "Go", 0, 0, 0, 26, 15, 7, 48
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/main.go", "Go", 0, 0, 0, 5, 15, 4, 24
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/publish_worker.go", "Go", 0, 0, 0, 83, 15, 12, 110
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/upload_session.go", "Go", 0, 0, 0, 53, 15, 11, 79
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/artifact_cleanup.go", "Go", 0, 0, 0, -26, -15, -10, -51
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/common.go", "Go", 0, 0, 0, -118, -15, -23, -156
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/dispatch.go", "Go", 0, 0, 0, -28, -15, -6, -49
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/publish_worker.go", "Go", 0, 0, 0, -82, -15, -12, -109
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/run.go", "Go", 0, 0, 0, 1, 0, 0, 1
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/upload_session.go", "Go", 0, 0, 0, -52, -15, -11, -78
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/install-kitops.sh", "Shell Script", 0, 0, 73, 0, 16, 13, 102
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/auth_secret.go", "Go", 0, 0, 0, -16, 0, -2, -18
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/build.go", "Go", 0, 0, 0, -2, 0, 0, -2
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service.go", "Go", 0, 0, 0, -26, 0, -4, -30
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation.go", "Go", 0, 0, 0, -26, 0, -1, -27
