Date : 2026-04-11 14:49:04
Directory : /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller
Total : 154 files,  7121 codes, 686 comments, 849 blanks, all 8656 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/run.go                               | Go               |        179 |          0 |          7 |        186 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/go.mod                                                        | Go Module File   |         20 |          0 |          0 |         20 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/go.sum                                                        | Go Checksum File |         40 |          0 |          0 |         40 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/auditevent/recorder.go                  | Go               |         26 |         15 |          7 |         48 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/objectstorage/projection.go             | Go               |        101 |         15 |         11 |        127 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ociregistry/projection.go               | Go               |        167 |         15 |         23 |        205 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ociregistry/projection_test.go          | Go               |        101 |         15 |         13 |        129 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/build.go                   | Go               |         42 |          0 |          4 |         46 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/build_test.go              | Go               |         46 |          0 |          4 |         50 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/preflight.go               | Go               |         67 |         15 |         11 |         93 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service.go                 | Go               |         86 |          0 |          8 |         94 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service_roundtrip_test.go  | Go               |          5 |          0 |          0 |          5 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service_test.go            | Go               |        108 |          0 |         15 |        123 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/test_helpers_test.go       | Go               |         28 |          0 |          0 |         28 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation.go              | Go               |         26 |          0 |          2 |         28 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation_test.go         | Go               |          8 |          0 |          0 |          8 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/options.go                | Go               |         16 |          0 |         -1 |         15 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/pod.go                    | Go               |       -146 |        -15 |        -14 |       -175 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/replay_test.go            | Go               |       -136 |        -15 |        -22 |       -173 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/resources.go              | Go               |       -108 |        -15 |        -11 |       -134 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service.go                | Go               |        112 |          0 |          4 |        116 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_roundtrip_test.go | Go               |        -52 |        -15 |        -11 |        -78 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_test.go           | Go               |         56 |          0 |          5 |         61 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/status.go                 | Go               |         17 |          0 |          2 |         19 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/status_test.go            | Go               |        -17 |        -15 |         -6 |        -38 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/test_helpers_test.go      | Go               |         -5 |          0 |         -1 |         -6 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/token.go                  | Go               |         12 |         15 |          4 |         31 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/client.go            | Go               |        167 |         15 |         17 |        199 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/secret.go            | Go               |        289 |         15 |         29 |        333 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/secret_test.go       | Go               |        135 |         15 |         19 |        169 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/options.go                  | Go               |         69 |          0 |          7 |         76 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/options_test.go             | Go               |        114 |          0 |          7 |        121 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/render.go                   | Go               |         15 |          0 |          1 |         16 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/render_test.go              | Go               |         24 |          0 |          3 |         27 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/detect.go                       | Go               |        -79 |          0 |        -10 |        -89 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/detect_test.go                  | Go               |         41 |         15 |         12 |         68 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/format_common.go                | Go               |         78 |         15 |         12 |        105 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/gguf.go                         | Go               |         33 |         15 |          7 |         55 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/runner.go                       | Go               |        111 |         15 |         16 |        142 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/safetensors.go                  | Go               |         41 |         15 |          7 |         63 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/validation.go                   | Go               |       -273 |          0 |        -27 |       -300 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/archive.go                      | Go               |          9 |          0 |          1 |         10 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/archive_test.go                 | Go               |         12 |          0 |          0 |         12 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http.go                         | Go               |        102 |          0 |         11 |        113 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http_probe.go                   | Go               |        113 |         15 |         12 |        140 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http_probe_test.go              | Go               |         61 |         15 |         10 |         86 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface.go                  | Go               |        106 |          0 |         12 |        118 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/rawstage.go                     | Go               |        105 |         15 |         15 |        135 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/rawstage_test.go                | Go               |         56 |         15 |          7 |         78 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/remote.go                       | Go               |        -60 |          0 |         -8 |        -68 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/remote_test.go                  | Go               |         80 |          0 |         14 |         94 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/uploadstaging/s3/adapter.go                 | Go               |        103 |         15 |         13 |        131 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/uploadstaging/s3/multipart.go               | Go               |        153 |         15 |         13 |        181 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/uploadstaging/s3/object_io.go               | Go               |        110 |         15 |         15 |        140 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/finalize_delete.go              | Go               |         80 |          0 |         11 |         91 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/finalize_delete_test.go         | Go               |        264 |          0 |         12 |        276 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishaudit/plan.go                     | Go               |         96 |         15 |         15 |        126 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishaudit/plan_test.go                | Go               |        111 |         15 |         14 |        140 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/ensure_runtime.go         | Go               |         -4 |          0 |          0 |         -4 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/ensure_runtime_test.go    | Go               |          1 |          0 |          0 |          1 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_runtime_test.go   | Go               |         21 |          0 |          2 |         23 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_source_worker.go  | Go               |          2 |          0 |          0 |          2 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_upload_session.go | Go               |         11 |          0 |          1 |         12 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/reconcile_gate.go         | Go               |          2 |          0 |          0 |          2 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/status_mutation.go        | Go               |          3 |          0 |          0 |          3 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/status_mutation_test.go   | Go               |          5 |          0 |          0 |          5 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/issue_upload_session.go      | Go               |         10 |          0 |          2 |         12 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/issue_upload_session_test.go | Go               |         27 |          0 |          0 |         27 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/plan_source_worker.go        | Go               |         16 |          0 |          1 |         17 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/plan_source_worker_test.go   | Go               |         24 |          0 |          0 |         24 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/start_publication.go         | Go               |          4 |          0 |          0 |          4 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/start_publication_test.go    | Go               |          9 |          0 |          0 |          9 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/sourceadmission/preflight.go             | Go               |         67 |         15 |         11 |         93 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/sourceadmission/preflight_test.go        | Go               |        161 |         15 |         22 |        198 |
| /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/artifactbackend/contract.go                          | Go               |        -60 |        -21 |        -14 |        -95 |
