"filename", "language", "Markdown", "YAML", "Go Module File", "Go Checksum File", "Go", "Shell Script", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service.go", "Go", 0, 0, 0, 0, 179, 0, 15, 17, 211
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_test.go", "Go", 0, 0, 0, 0, 194, 0, 15, 25, 234
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/status.go", "Go", 0, 0, 0, 0, 58, 0, 15, 9, 82
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/test_helpers_test.go", "Go", 0, 0, 0, 0, 45, 0, 15, 6, 66
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/token.go", "Go", 0, 0, 0, 0, 12, 0, 15, 4, 31
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/client.go", "Go", 0, 0, 0, 0, 167, 0, 15, 17, 199
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/secret.go", "Go", 0, 0, 0, 0, 289, 0, 15, 29, 333
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsessionstate/secret_test.go", "Go", 0, 0, 0, 0, 135, 0, 15, 19, 169
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/options.go", "Go", 0, 0, 0, 0, 112, 0, 15, 15, 142
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/options_test.go", "Go", 0, 0, 0, 0, 188, 0, 15, 17, 220
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/render.go", "Go", 0, 0, 0, 0, 42, 0, 15, 7, 64
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/render_test.go", "Go", 0, 0, 0, 0, 70, 0, 15, 13, 98
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/status.go", "Go", 0, 0, 0, 0, 17, 0, 15, 5, 37
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/detect.go", "Go", 0, 0, 0, 0, 60, 0, 15, 11, 86
