"filename", "language", "Markdown", "YAML", "Go Module File", "Go Checksum File", "Go", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/run.go", "Go", 0, 0, 0, 0, -20, 0, -5, -25
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/run_test.go", "Go", 0, 0, 0, 0, 21, 0, 4, 25
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/support.go", "Go", 0, 0, 0, 0, 4, 0, 0, 4
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/upload.go", "Go", 0, 0, 0, 0, 103, 15, 13, 131
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/http_api.go", "Go", 0, 0, 0, 0, 271, 15, 30, 316
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/payloads.go", "Go", 0, 0, 0, 0, 54, 15, 14, 83
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/probe_api.go", "Go", 0, 0, 0, 0, 92, 15, 11, 118
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/request_helpers.go", "Go", 0, 0, 0, 0, 141, 15, 14, 170
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/run.go", "Go", 0, 0, 0, 0, -36, 0, 0, -36
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/run_test.go", "Go", 0, 0, 0, 0, 343, 0, 35, 378
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/ingestadmission/common.go", "Go", 0, 0, 0, 0, 120, 15, 19, 154
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/ingestadmission/common_test.go", "Go", 0, 0, 0, 0, 105, 15, 15, 135
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/ingestadmission/upload.go", "Go", 0, 0, 0, 0, 128, 15, 19, 162
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/ingestadmission/upload_test.go", "Go", 0, 0, 0, 0, 163, 15, 30, 208
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/conditions.go", "Go", 0, 0, 0, 0, 18, 0, 3, 21
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/operation.go", "Go", 0, 0, 0, 0, 8, 0, 2, 10
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/operation_test.go", "Go", 0, 0, 0, 0, 7, 0, 0, 7
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/policy_validation.go", "Go", 0, 0, 0, 0, 264, 15, 28, 307
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/policy_validation_test.go", "Go", 0, 0, 0, 0, 170, 15, 17, 202
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/runtime_decisions_test.go", "Go", 0, 0, 0, 0, -1, 0, 0, -1
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/status.go", "Go", 0, 0, 0, 0, 15, 0, 0, 15
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/status_test.go", "Go", 0, 0, 0, 0, 127, 0, 8, 135
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/auditsink/contract.go", "Go", 0, 0, 0, 0, 10, 15, 5, 30
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/publishop/operation_contract.go", "Go", 0, 0, 0, 0, 16, 0, 0, 16
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/publishop/ports.go", "Go", 0, 0, 0, 0, -3, 0, -1, -4
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/publishop/ports_test.go", "Go", 0, 0, 0, 0, 1, 0, 0, 1
