"filename", "language", "Go Checksum File", "Go", "Markdown", "YAML", "Go Module File", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/README.md", "Markdown", 0, 0, 88, 0, 0, 0, 6, 94
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/STRUCTURE.ru.md", "Markdown", 0, 0, 438, 0, 0, 0, 209, 647
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/main.go", "Go", 0, 5, 0, 0, 0, 15, 4, 24
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/run.go", "Go", 0, 187, 0, 0, 0, 15, 24, 226
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/go.mod", "Go Module File", 0, 0, 0, 0, 63, 0, 5, 68
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/go.sum", "Go Checksum File", 139, 0, 0, 0, 0, 0, 1, 140
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/cleanupjob/job.go", "Go", 0, 132, 0, 0, 0, 15, 19, 166
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/cleanupjob/job_test.go", "Go", 0, 43, 0, 0, 0, 15, 7, 65
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ociregistry/render.go", "Go", 0, 60, 0, 0, 0, 15, 12, 87
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ociregistry/render_test.go", "Go", 0, 18, 0, 0, 0, 15, 7, 40
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ownedresource/create_or_get.go", "Go", 0, 41, 0, 0, 0, 15, 7, 63
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ownedresource/create_or_get_test.go", "Go", 0, 61, 0, 0, 0, 15, 13, 89
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/auth_secret.go", "Go", 0, 134, 0, 0, 0, 15, 19, 168
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/auth_secret_test.go", "Go", 0, 88, 0, 0, 0, 15, 13, 116
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/build.go", "Go", 0, 182, 0, 0, 0, 15, 21, 218
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/build_test.go", "Go", 0, 162, 0, 0, 0, 15, 36, 213
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/runtime_test.go", "Go", 0, 57, 0, 0, 0, 15, 11, 83
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service.go", "Go", 0, 137, 0, 0, 0, 15, 30, 182
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service_test.go", "Go", 0, 148, 0, 0, 0, 15, 21, 184
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/test_helpers_test.go", "Go", 0, 46, 0, 0, 0, 15, 5, 66
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation.go", "Go", 0, 65, 0, 0, 0, 15, 9, 89
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation_test.go", "Go", 0, 200, 0, 0, 0, 15, 14, 229
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/options.go", "Go", 0, 53, 0, 0, 0, 15, 10, 78
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/pod.go", "Go", 0, 119, 0, 0, 0, 15, 12, 146
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/replay_test.go", "Go", 0, 145, 0, 0, 0, 15, 21, 181
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/request.go", "Go", 0, 22, 0, 0, 0, 15, 5, 42
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/resources.go", "Go", 0, 110, 0, 0, 0, 15, 11, 136
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/runtime_test.go", "Go", 0, 60, 0, 0, 0, 15, 11, 86
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service.go", "Go", 0, 143, 0, 0, 0, 15, 26, 184
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_test.go", "Go", 0, 118, 0, 0, 0, 15, 20, 153
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/status.go", "Go", 0, 90, 0, 0, 0, 15, 16, 121
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/status_test.go", "Go", 0, 40, 0, 0, 0, 15, 10, 65
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/test_helpers_test.go", "Go", 0, 51, 0, 0, 0, 15, 7, 73
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/render.go", "Go", 0, 27, 0, 0, 0, 15, 6, 48
