"filename", "language", "Markdown", "YAML", "Shell Script", "Go Module File", "Go", "Go Checksum File", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/status.go", "Go", 0, 0, 0, 0, 90, 0, 15, 16, 121
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/status_test.go", "Go", 0, 0, 0, 0, 40, 0, 15, 10, 65
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/test_helpers_test.go", "Go", 0, 0, 0, 0, 47, 0, 15, 7, 69
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/render.go", "Go", 0, 0, 0, 0, 27, 0, 15, 6, 48
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/render_test.go", "Go", 0, 0, 0, 0, 46, 0, 15, 10, 71
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/workloadpod/status.go", "Go", 0, 0, 0, 0, 17, 0, 15, 5, 37
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/detect.go", "Go", 0, 0, 0, 0, 139, 0, 15, 21, 175
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/validation.go", "Go", 0, 0, 0, 0, 302, 0, 15, 33, 350
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelformat/validation_test.go", "Go", 0, 0, 0, 0, 101, 0, 15, 22, 138
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/kitops/adapter.go", "Go", 0, 0, 0, 0, 284, 0, 15, 48, 347
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/kitops/adapter_test.go", "Go", 0, 0, 0, 0, 29, 0, 15, 10, 54
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/common/profile.go", "Go", 0, 0, 0, 0, 110, 0, 15, 18, 143
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/common/profile_test.go", "Go", 0, 0, 0, 0, 34, 0, 15, 10, 59
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/gguf/profile.go", "Go", 0, 0, 0, 0, 170, 0, 15, 22, 207
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/gguf/profile_test.go", "Go", 0, 0, 0, 0, 46, 0, 15, 6, 67
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/safetensors/profile.go", "Go", 0, 0, 0, 0, 285, 0, 15, 43, 343
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/safetensors/profile_test.go", "Go", 0, 0, 0, 0, 70, 0, 15, 6, 91
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/archive.go", "Go", 0, 0, 0, 0, 267, 0, 15, 35, 317
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/archive_test.go", "Go", 0, 0, 0, 0, 138, 0, 15, 24, 177
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http.go", "Go", 0, 0, 0, 0, 156, 0, 15, 21, 192
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http_test.go", "Go", 0, 0, 0, 0, 45, 0, 15, 11, 71
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface.go", "Go", 0, 0, 0, 0, 207, 0, 15, 26, 248
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_test.go", "Go", 0, 0, 0, 0, 28, 0, 15, 9, 52
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/tar_gzip.go", "Go", 0, 0, 0, 0, 44, 0, 15, 8, 67
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/ensure_cleanup_finalizer.go", "Go", 0, 0, 0, 0, 25, 0, 15, 6, 46
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/ensure_cleanup_finalizer_test.go", "Go", 0, 0, 0, 0, 86, 0, 15, 6, 107
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/finalize_delete.go", "Go", 0, 0, 0, 0, 84, 0, 15, 12, 111
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/finalize_delete_test.go", "Go", 0, 0, 0, 0, 148, 0, 15, 7, 170
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/issue_upload_session.go", "Go", 0, 0, 0, 0, 56, 0, 15, 8, 79
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/issue_upload_session_test.go", "Go", 0, 0, 0, 0, 123, 0, 15, 7, 145
