"filename", "language", "Markdown", "YAML", "Shell Script", "Go", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/kitops/adapter.go", "Go", 0, 0, 0, 284, 15, 48, 347
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelpack/kitops/adapter_test.go", "Go", 0, 0, 0, 29, 15, 10, 54
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/common/profile.go", "Go", 0, 0, 0, 110, 15, 18, 143
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/common/profile_test.go", "Go", 0, 0, 0, 34, 15, 10, 59
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/gguf/profile.go", "Go", 0, 0, 0, 170, 15, 22, 207
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/gguf/profile_test.go", "Go", 0, 0, 0, 46, 15, 6, 67
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/safetensors/profile.go", "Go", 0, 0, 0, 285, 15, 43, 343
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/modelprofile/safetensors/profile_test.go", "Go", 0, 0, 0, 70, 15, 6, 91
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/archive.go", "Go", 0, 0, 0, 267, 15, 35, 317
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/archive_test.go", "Go", 0, 0, 0, 138, 15, 24, 177
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http.go", "Go", 0, 0, 0, 156, 15, 21, 192
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/http_test.go", "Go", 0, 0, 0, 45, 15, 11, 71
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface.go", "Go", 0, 0, 0, 207, 15, 26, 248
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/huggingface_test.go", "Go", 0, 0, 0, 28, 15, 9, 52
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/tar_gzip.go", "Go", 0, 0, 0, 44, 15, 8, 67
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/app/app.go", "Go", 0, 0, 0, -144, -15, -18, -177
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/app/app_test.go", "Go", 0, 0, 0, -63, -15, -10, -88
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/BRANCH_MATRIX.ru.md", "Markdown", -24, 0, 0, 0, 0, -7, -31
